symbol,date,open,close,high,low,volume
SP-500,1/28/2020,3255.35,3276.24,3285.78,3253.22,192763
SP-500,1/27/2020,3247.16,3243.63,3258.85,3234.5,207820
SP-500,1/24/2020,3333.1,3295.47,3333.18,3281.53,207848
SP-500,1/23/2020,3315.77,3325.54,3326.88,3301.87,200517
SP-500,1/22/2020,3330.02,3321.75,3337.77,3320.04,181507
SP-500,1/21/2020,3321.03,3320.79,3329.79,3316.61,210484
SP-500,1/17/2020,3323.66,3329.62,3329.88,3318.86,208675
SP-500,1/16/2020,3302.97,3316.81,3317.11,3302.82,175774
SP-500,1/15/2020,3282.27,3289.29,3298.66,3280.69,175863
SP-500,1/14/2020,3285.35,3283.15,3294.25,3277.19,192812
SP-500,1/13/2020,3271.13,3288.13,3288.13,3268.43,172194
SP-500,1/10/2020,3281.81,3265.35,3282.99,3260.86,158555
SP-500,1/9/2020,3266.03,3274.7,3275.58,3263.67,177944
SP-500,1/8/2020,3238.59,3253.05,3267.07,3236.67,188860
SP-500,1/7/2020,3241.86,3237.18,3244.91,3232.43,182573
SP-500,1/6/2020,3217.55,3246.28,3246.84,3214.64,180784
SP-500,1/3/2020,3226.36,3234.85,3246.15,3222.34,168919
SP-500,1/2/2020,3244.67,3257.85,3258.14,3235.53,174890
SP-500,12/31/2019,3215.18,3230.78,3231.72,3212.03,122501
SP-500,12/30/2019,3240.09,3221.29,3240.92,3216.57,115755
SP-500,12/27/2019,3247.23,3240.02,3247.93,3234.37,108131
SP-500,12/26/2019,3227.2,3239.91,3240.08,3227.2,100380
SP-500,12/24/2019,3225.45,3223.38,3226.43,3220.51,58721
SP-500,12/23/2019,3226.05,3224.01,3227.78,3222.3,153857
SP-500,12/20/2019,3223.33,3221.22,3225.65,3216.03,346743
SP-500,12/19/2019,3192.32,3205.37,3205.48,3192.32,191635
